coreid	identifier	format	accessURI	rights	owner	creator	type	idigbio_recordSetID
bd5a906b-dd0b-4c92-b359-a8f5e268507e	urn:uuid:82e4cdb8-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_ENT 00021880_chlamyopsallus lycii m.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
ac59f8bd-5a3c-4b07-8b37-891b92817656	urn:uuid:82e4ce44-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_ENT 00021881_chlamyopsallus lycii f.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
8e064483-9473-4bc5-845d-7246d4da2759	urn:uuid:82e4cff2-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_ENT 00021882_calidroides schaffneri f.jpg	http://creativecommons.org/licenses/by/4.0/	Texas A&M University	Texas A&M University	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
1f3ab4b5-2e57-4e65-a446-9ddcda8bb550	urn:uuid:82e4cf66-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_ENT 00021883_calidroides negro f.jpg	http://creativecommons.org/licenses/by/4.0/	Texas A&M University	Texas A&M University	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
0bcc1551-c93c-406b-ab1e-2bd80910bc4a	urn:uuid:828fd6be-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085492.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
717a0d55-5d8b-4fb1-8202-113e1af90e71	urn:uuid:828fd916-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085496.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
81e583f0-befb-453b-9a73-8947f1b8df2a	urn:uuid:8290772c-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085532.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
a7fa2751-a9fe-43a1-b8dc-e6cfdf9a71b1	urn:uuid:8290772c-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085532lat.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
02ede80c-946a-47fb-9112-36026efcc572	urn:uuid:82917910-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085581.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
fe46d11e-ed47-48da-b632-ce68dfead385	urn:uuid:82917b5e-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085586.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
1dc479b7-577a-4ee2-b16f-c14124642dca	urn:uuid:82917bf4-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085587.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
ccb4c057-9805-49b6-a5b7-90a4a9a4a31d	urn:uuid:82917c80-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085588.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
97e959a4-028f-4336-b519-7392480bfa92	urn:uuid:82926514-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085618.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
06bf7836-afe0-4afc-81b7-6f46be73be46	urn:uuid:8292bd98-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085626.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
29668056-ee5d-475e-ac4b-114f570db91e	urn:uuid:8292bfdc-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00085628.jpg	http://creativecommons.org/licenses/by/4.0/	Natural History Museum, London	Natural History Museum, London	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
483c3e18-8ace-4fee-8d72-7cf949a2da9c	urn:uuid:837ae802-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099644.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
931089f7-db2e-42f7-96e7-c9e479d45815	urn:uuid:837ae8ca-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099645.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
b20a17ed-ce6b-4e39-b81b-e9ed6491ccad	urn:uuid:83824160-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099649.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
