coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,associatedSpecimenReference,type,subtype,format,metadataLanguage
8192,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-dorsal-redu.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-dorsal-redu.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-dorsal-redutn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-dorsal-redu.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)",ASUHIC/2012,http://creativecommons.org/publicdomain/zero/1.0/,"Habitus\dorsal",,urn:uuid:5677cabd-c7ab-451b-8d93-61cf4f6f66c7,"2012-08-09 02:13:09",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=8192,StillImage,Photograph,image/jpeg,en
8192,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-lateral-red.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-lateral-red.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-lateral-redtn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000001-lateral-red.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus\lateral",,urn:uuid:6a7d6506-f72d-4ffe-833d-d70d8dc61a4b,"2012-08-09 02:16:02",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=8192,StillImage,Photograph,image/jpeg,en
8194,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-dorsal-redu.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-dorsal-redu.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-dorsal-redutn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-dorsal-redu.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus\dorsal",,urn:uuid:2ff30b79-d0b8-4394-b6d3-f379ab56b38f,"2012-08-09 02:17:51",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=8194,StillImage,Photograph,image/jpeg,en
8194,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-lateral-red.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-lateral-red.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-lateral-redtn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000003-lateral-red.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus\lateral",,urn:uuid:2583f0cf-0378-4811-9ee8-63882c84898a,"2012-08-09 02:18:50",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=8194,StillImage,Photograph,image/jpeg,en
8198,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-dorsal-redu.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-dorsal-redu.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-dorsal-redutn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-dorsal-redu.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus\dorsal",,urn:uuid:f9d9ee4a-2961-4c46-87c1-49802643909d,"2012-08-09 02:20:19",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=8198,StillImage,Photograph,image/jpeg,en
8198,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-lateral-red.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-lateral-red.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-lateral-redtn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201203/ASUHIC0000007-lateral-red.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus\lateral",,urn:uuid:e38aa24e-47ff-4c06-a162-096df71b5280,"2012-08-09 02:20:53",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=8198,StillImage,Photograph,image/jpeg,en
357556,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0006966_habitus_latlg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0006966_habitus_latlg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0006966_habitus_lattn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0006966_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC 2012",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:8b5e7457-bac3-4dcb-87b9-fe21329ef9d0,"2012-08-09 02:27:44",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=357556,StillImage,Photograph,image/jpeg,en
357620,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0007176_habitus_latlg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0007176_habitus_latlg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0007176_habitus_lattn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201207/ASUHIC0007176_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus\lateral",,urn:uuid:53d09d45-a63f-454d-8a39-e47511e94d78,"2012-08-09 02:29:08",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=357620,StillImage,Photograph,image/jpeg,en
13582,http://symbiota4.acis.ufl.edu/imglib/scan/Curculionidae/ASUHIC0006826_habitus_latlg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/Curculionidae/ASUHIC0006826_habitus_latlg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/Curculionidae/ASUHIC0006826_habitus_lattn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/Curculionidae/ASUHIC0006826_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC 2012",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:2e596c19-bd9d-4a5d-837c-227c9b7ad309,"2012-08-25 18:41:02",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=13582,StillImage,Photograph,image/jpeg,en
363436,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007214_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007214_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007214_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007214_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2012",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:4e505c79-8be4-4722-98ea-80c3f5978e99,"2012-09-21 20:44:48",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=363436,StillImage,Photograph,image/jpeg,en
363465,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007185_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007185_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007185_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201209/ASUHIC0007185_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2012",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:7b5a3e1b-ca63-466f-ac9d-45aa118ac230,"2012-09-22 00:13:16",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=363465,StillImage,Photograph,image/jpeg,en
